id,text,n_crop,n_disease,n_medicine
1-1,疫病危害/n_disease ，建议选用/n_new 68·75%霜霉威/n_medicine 盐/n ·/w 氟/n 吡/w 菌胺/n_medicine 悬浮液/n_new 剂/ng 800倍/q 液/ng 、/wn 50%烯酰吗啉/n_medicine 可/v 湿性粉剂/n_medicine 1000倍/q 液/ng 等/udeng 喷施防治/n_new 。/wj ,[],['疫病危害'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
1-2,疫病/n_disease 炭疽病/n_disease 为害/v ，用/p 银法利/nrf 和/cc 苯甲溴菌腈/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],"['疫病', '炭疽病']",['苯甲溴菌腈']
1-3,炭疽病/n_disease 危害/v 使用/v 肟菌戊唑醇/n_medicine 或/c 苯甲丙环唑/n_medicine 防治/vn ,[],['炭疽病'],"['肟菌戊唑醇', '苯甲丙环唑']"
2-1,高温灼伤/n_disease 或/c 药害/n_new 等/udeng 外力/n 损伤造成/n_new 的/ude1 ，不/d 是/vshi 病菌/n 性病/n 害/n 。/wj 可/v 选用/v 碧护/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['高温灼伤'],['碧护']
2-2,日/ng 灼/vg 斑/n 。/wj 叶面喷施/n_new 碧护/n_medicine 和/cc 螯合钙/n_medicine 。/wj ,[],[],"['碧护', '螯合钙']"
2-3,疫病/n_disease 及/cc 炭疽病/n_disease 危害/v 使用/v 银法利/nrf +肟菌戊唑醇/n_medicine 防治/v ,[],"['疫病', '炭疽病']",['肟菌戊唑醇']
3-1,激素类农药/n_new 药害/n_new 。/wj 可/v 喷施/n_new 氨基酸/n_medicine 水溶肥/n_medicine 缓解/n_new 。/wj ,[],[],"['氨基酸', '水溶肥']"
3-2,用药不当/n_disease ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 缓解/n_new 。/wj ,[],['用药不当'],"['碧护', '芸苔素内酯']"
3-3,如果/c 大面积/d 发生/v ，考虑温度不适/n_new 或/c 药害/n_new 导致/v 叶面/n 可用/v 碧护/n_medicine +磷酸二氢钾/n_medicine 或/c 氨基酸叶面肥/n_medicine 调节/n_new ,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
4-1,药害/n_new ，叶面喷施/n_new 氨基酸/n_medicine 十芸苔素/n_medicine 或/c 碧护/n_medicine 缓解/n_new 。/wj ,[],[],"['氨基酸', '十芸苔素', '碧护']"
4-2,用药不当/n_disease ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 缓解/n_new 。/wj ,[],['用药不当'],"['碧护', '芸苔素内酯']"
4-3,用药不当/n_disease 导致/v 的/ude1 喷施/n_new 碧护/n_medicine 缓解/n_new ,[],['用药不当'],['碧护']
5-1,缺/v 镁/n ，叶面喷施/n_new 碧护/n_medicine 和/cc 螯合/n_new 镁/n 。/wj ,[],[],['碧护']
